keyword,category
Liên Minh Công Lý: Phiên bản của Zack Snyder, Action/Adventure
thiên nga bóng đêm, Horror\n
thanh thanh tử khâm,Action|
con tim sắt đá,Thriller
fairy tail, anime
tôi thấy hoa vàng trên cỏ xanh, Drama
chàng hậu, action\n
nhất kiến khuynh tâm,"Action, Drama"
kẻ trộm mặt trăng: minions, Minions\n
anna, Horror
siêu nhân, Action
yêu tinh, Romance
u19, Action\n
minh châu rực rỡ, Drama <|im_end|>\n
conan, Action/Adventure
vẻ đẹp đích thực,Action/Adventure
sao băng, Action/Adventure
Thử Thách Thần Tượng,Không tìm thấy kết quả phù hợp cho từ khóa của bạn. Vui lòng kiểm tra định dạng hoặc nội dung của từ khóa.\n
running man,action
eve, Drama
Kẻ Trộm Mặt Trăng: Minions, Action & Adventure\n
yêu thầm anh xã,Drama
tại sao lại là oh soo jae?, I cannot understand the given text as it is in Vietnamese language. Please provide the keyword or film title in English for me to analyze and find the category.
Tìm kiếm bằng giọng nói, Hãy cung cấp từ khóa để tìm kiếm loại phim
lưu ly mỹ nhân sát, Action\n
tinh hà xán lạn,Action & Adventure
cuộc chiến thượng lưu, action\n
hậu duệ mặt trời, Sci-fi
vô tình nhặt được tổng tài, Action\n
hội pháp sư,Drama
mặt trăng ôm mặt trời, Drama/Romance
yêu nhầm chị dâu," Drama, Romance\n"
one punch man, action
u19 việt nam - u19 brunei | xem lại trận đấu - u19 đông nam á,soccer
why her?,Not Found
bắt ma phá án,action
prime provider, Action/Thriller
mối tình đầu của tôi, Drama\n
bằng chứng thép,"Không có truyệt phim nào tương ứng với từ khóa của bạn: ""bằng chứng thép"". Vui lòng kiểm tra lại từ khóa hoặc sử dụng mô tả khác để tìm kiếm."
hương mật tựa khói sương, Action/Adventure
naruto, Action
dr. stone,"Drama, Sci-Fi, Animation"
định mệnh anh yêu em," Drama, Romance\n"
sakura - thủ lĩnh thẻ bài, Action\n
cô vợ bắt buộc, Drama\n
lưỡi gươm diệt quỷ,Action & Adventure
bạn trai tôi là hồ ly, I\
mộng hoa lục,Thriller
trữ tình,Drama
jujutsu kaisen, Anime|Manga
penthouse 2, XXX
pháp y tần minh: người đọc tâm,  action and adventure
cá mực hầm mật,"Action, Thriller, Mystery"
bolero, Romance
hạnh phúc đến vạn gia, Drama\n
true beauty,Drama
hoa của quỷ, Horror
thư ký kim sao thế?,Not Found
vườn sao băng,Action/Adventure
lấy danh nghĩa người nhà,Please provide the keyword you need to categorize.
tinh hán xán lạn, action
tư đằng, Drama
bằng chứng thép 3, Action/Adventure\n
overlord ii," Action, War"
tấm cám: chuyện chưa kể, Drama | Tìm thông tin về từ khóa của bạn để xác định danh mục phim
em là thành trì doanh lũy của anh, Action and Adventure
doraemon, Animation
CONAN,Action/Adventure
"làm sao, boss lại làm sao nữa?", Kết quả tìm kiếm: Thriller\n
kimetsu no yaiba," Action, Adventure, Anime, Martial Arts, Supernatural"
chú thuật hồi chiến,Action/Adventure
minh lan truyện,action
one piece,"action, adventure, anime, fantasy, romance, shounen"
kết hôn rồi bắt đầu yêu,Drama\n
thanh gươm diệt quỷ: phần kỹ viện trấn, Action/Adventure
gửi thời thanh xuân ngây thơ tươi đẹp," action, adventure"
chị đã thành công thu hút sự chú ý của tôi, action\n
bất động sản trừ tà, Real Estate
penthouse 3, adult\n
u19 việt nam - u19 malaysia | xem lại trận đấu - u19 đông nam á, Soccer
"taxi, em tên gì?",action
nữ luật sư kì lạ,Crime drama
cổ tay áo màu đỏ, action\n
anime," action, adventure, comedy, fantasy, romance"
thế giới động vật, Documentary
thiếu nhi,Not Found
